,Headlines,Summary,Time,ner_text,GPE,LOC,PERSON,ORG,DATE,Type of Crime
0,Killing sparks fear in Karachi,"KARACHI, Dec 31: Fear gripped parts of Abbas Town and neighborhoods along the Abul Hasan Isphahani Road on Saturday night following a shootout and an act of arson after a member of the Pasban-i-Jafria (PJ) 
    ",2012-01-01,"[KARACHI, Dec 31, Abbas Town, Abul Hasan Isphahani Road, Saturday night]","['KARACHI', 'Abbas Town']",[],['Abul Hasan Isphahani Road'],[],['Dec 31'],['Terrorism']
1,Rockets fired,"QUETTA, Dec 31: Three rockets fired from an unknown location landed in different localities in the provincial capital on Saturday, police said.Staff Correspondent 
    ",2012-01-01,"[QUETTA, Dec 31, Three, Saturday]",['QUETTA'],[],[],[],"['Dec 31', 'Saturday']",['Terrorism']
2,2 'terrorists' arrested,"TAXILA, Dec 31: Taxila police on Saturday arrested two alleged terrorists and recovered heavy cache of arms from their possession. 
    ",2012-01-01,"[TAXILA, Dec 31, Saturday, two]",[],[],[],['TAXILA'],"['Dec 31', 'Saturday']",['Terrorism']
3,12 trucks torched in Khyber,"LANDI KOTAL, Dec 31: Unidentified armed men put on fire at least 12 trucks, loaded with smuggled foreign goods, and abducted three drivers from Jabba area of Jamrud tehsil in Khyber Agency on Friday. 
    ",2012-01-01,"[LANDI KOTAL, Dec 31, Unidentified, at least 12, three, Jabba, Jamrud, Khyber Agency, Friday]","['Jabba', 'Jamrud']",[],['LANDI KOTAL'],"['Unidentified', 'Khyber Agency']","['Dec 31', 'Friday']","['Kidnapping', 'Assault']"
4,CM orders withdrawal of case against protesters,"MIANWALI, Dec 31: Chief Minister Shahbaz Sharif has directed the authorities to withdraw a terrorism case against 93 nominated and 6,000 unidentified people who clashed with police during a protest against 
    ",2012-01-01,"[MIANWALI, Dec 31, Shahbaz Sharif, 93, 6,000]",[],[],['Shahbaz Sharif'],['MIANWALI'],['Dec 31'],['Terrorism']
5,Police raid leads to mob rule,"FAISALABAD, Dec 31: The killing of a suspect by a Sargodha police raiding team excited choler of the public which torched a police post and threw traffic out of gear on Faisalabad-Jaranwala Road on Saturday. 
    ",2012-01-01,"[FAISALABAD, Dec 31, Sargodha, Faisalabad-Jaranwala Road, Saturday]",['FAISALABAD'],[],[],[],"['Dec 31', 'Saturday']",['Murder']
6,Three of a family killed in roof collapse,"JHANG, Dec 31: Three family members were killed and two labourers sustained serious injuries when the under-construction roof of a room collapsed on them in Bag Town, some 10kms from here, on Saturday. 
    ",2012-01-01,"[JHANG, Dec 31, Three, two, Bag Town, Saturday]",['Bag Town'],[],[],['JHANG'],"['Dec 31', 'Saturday']","['Murder', 'Assault']"
7,"Rickshaw drivers, police clash in Peshawar G.T. Road turns into battlefield","PESHAWAR, Jan 2: A violent protest by rickshaw drivers against a traffic plan that restricts their movement in the city turned the Grand Trunk Road into a battlefield as they came in clash with the police here on Monday 
    ",2012-01-02,"[PESHAWAR, Jan 2, Monday]",['PESHAWAR'],[],[],[],"['Jan 2', 'Monday']",['Assault']
8,"Man killed, another injured","ISLAMABAD, Jan 1: A man was killed while another was injured in separate incidents here on Sunday. 
    ",2012-01-02,"[ISLAMABAD, Jan 1, Sunday]",['ISLAMABAD'],[],[],[],"['Jan 1', 'Sunday']","['Murder', 'Assault']"
9,Campaign planned against use of children as suicide bombers,"QUETTA, Jan 1: Speakers at a civil society meeting here on Sunday vowed to launch a campaign against the use of children as soldiers, particularly as suicide bombers, by extremist groups. 
    ",2012-01-02,"[QUETTA, Jan 1, Sunday]",['QUETTA'],[],[],[],"['Jan 1', 'Sunday']",['Terrorism']
